City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,port hedland,-20.3167,118.5667,89.65,58,40,10.36,AU,1680239959
328,raton,36.9034,-104.4391,41.34,42,0,12.66,US,1680239963
329,muyezerskiy,63.9333,31.65,13.96,93,86,11.74,RU,1680239964
330,nemuro,43.3236,145.575,38.89,95,100,20.78,JP,1680239429
331,pleasanton,37.6624,-121.8747,48.88,82,0,4.61,US,1680239846
332,valparaiso,-33.0393,-71.6273,64.99,54,0,0.0,CL,1680239844
333,tashtagol,52.7657,87.8894,23.36,66,100,8.95,RU,1680239964
334,mangrol,21.1167,70.1167,80.49,55,0,7.99,IN,1680239400
335,disna,55.568,28.1971,31.48,94,100,8.34,BY,1680239964
336,xining,36.6167,101.7667,53.15,21,0,5.21,CN,1680239722
337,severobaykalsk,55.65,109.3167,23.67,87,96,12.33,RU,1680239964
338,doka,13.5167,35.7667,78.91,20,84,10.31,SD,1680239964
339,oranjestad,12.524,-70.027,78.91,81,0,4.0,AW,1680239964
340,karatuzskoye,53.6072,92.8667,24.37,47,98,10.69,RU,1680239964
341,alta floresta,-9.8756,-56.0861,70.65,97,63,1.07,BR,1680239392
342,alofi,-19.0595,-169.9187,81.01,80,47,15.03,NU,1680239413
343,meulaboh,4.1363,96.1285,84.27,67,87,3.44,ID,1680239431
344,cabo san lucas,22.8909,-109.9124,72.52,74,44,9.4,MX,1680239393
345,brae,60.3964,-1.353,43.48,92,99,15.75,GB,1680239433
346,krasnolesnyy,51.8807,39.5877,32.0,79,97,10.71,RU,1680239965
347,bereda,43.2686,-7.5406,54.41,87,94,9.86,ES,1680239965
348,susangerd,31.5608,48.1831,70.34,40,37,10.27,IR,1680239965
349,pokrovsk,48.282,37.1758,30.61,85,81,15.26,UA,1680239965
350,cortez,37.3489,-108.5859,31.03,88,100,4.61,US,1680239965
351,manoel urbano,-8.8389,-69.2597,72.55,99,100,2.13,BR,1680239965
352,kavieng,-2.5744,150.7967,83.86,70,87,5.64,PG,1680239395
353,sligo,54.2697,-8.4694,48.51,95,100,3.65,IE,1680239965
354,veraval,20.9,70.3667,80.83,54,0,7.49,IN,1680239965
355,pali,25.7667,73.3333,82.29,37,5,11.83,IN,1680239965
356,khani,41.9563,42.9566,31.57,81,97,2.59,GE,1680239965
357,belyy yar,53.6039,91.3903,26.85,42,40,4.47,RU,1680239398
358,hanford,36.3275,-119.6457,47.25,87,0,0.0,US,1680239965
359,komsomolskiy,40.4272,71.7189,68.72,49,100,2.3,UZ,1680239408
360,mizan teferi,6.9833,35.5833,64.65,83,100,2.08,ET,1680239965
361,dambulla,7.86,80.6517,90.7,47,41,0.81,LK,1680239965
362,mae sai,20.4335,99.8762,99.12,17,1,3.62,TH,1680239965
363,guia lopes da laguna,-21.4578,-56.1142,72.9,83,0,2.15,BR,1680239965
